1968,80,2702,65,0.89,0.98,1,2,1,144
1653,45,1417,2,0.4,0.9,1,5,2,145
153,52,590,127,0.02,,0,24,0,146
721,87,1339,84,0.03,,0,24,1,147
2380,90+4,216,31,0.02,,0,35,1,148
1186,8,2700,100,0.04,,0,15,0,149
1095,90+6,2586,67,0.02,0.07,0,30,1,150
1084,87,951,62,0.03,0.07,0,31,1,151
2410,45,178,13,0.19,,0,8,1,152
1453,70,2217,109,0.1,0.18,0,9,1,153
1486,68,1437,104,0.02,,0,12,2,154
1376,30,1829,98,0.03,0.03,0,29,1,155
948,35,1466,56,0.05,,0,17,0,156
1341,44,1323,103,0.06,,0,22,0,157
1496,54,127,105,0.08,,0,10,1,158
612,50,1858,84,0.04,,0,17,0,159
204,70,1393,117,0.07,,0,18,1,160
951,43,2535,67,0.14,0.68,1,5,2,161
1341,70,1154,103,0.23,,0,10,1,162
504,60,2155,77,0.09,,0,18,0,163
1135,38,1346,69,0.04,,0,13,2,164
498,35,786,74,0.19,0.08,0,12,1,165
1037,31,460,60,0.29,0.02,1,8,1,166
1276,49,1805,96,0.06,,0,16,0,167
990,22,1214,68,0.1,0.03,0,12,1,168
952,52,360,56,0.04,,0,25,0,169
2206,48,766,7,0.01,,0,13,0,170
1245,17,1684,93,0.05,,0,9,1,171
2439,90+7,168,8,0.07,,0,21,1,172
2898,16,2702,65,0.03,,0,16,0,173
1795,20,1757,17,0.08,,0,17,0,174
1345,25,613,97,0.05,,0,33,1,175
118,24,1548,118,0.04,,0,26,0,176
2418,87,1962,10,0.06,,0,10,2,177
1036,76,591,60,0.15,,0,8,0,178
2215,21,1057,16,0.02,,0,32,1,179
2908,47,916,14,0.04,,0,21,0,180
2753,18,120,121,0.03,,0,25,0,181
562,33,2553,89,0.02,,0,18,0,182
2212,37,1915,18,0.42,,0,13,1,183
1120,31,1292,65,0.06,0.04,0,24,1,184
572,77,290,87,0.02,,0,28,1,185
2133,2,1602,4,0.03,,0,18,1,186
866,88,1929,53,0.03,,0,22,1,187
1418,20,697,105,0.16,,0,8,2,188
244,89,1399,118,0.04,,0,22,1,189
968,56,2583,65,0.1,,0,9,2,190
907,55,2112,61,0.09,,0,13,1,191
635,51,1787,79,0.11,,0,10,2,192
355,7,718,125,0.02,,0,16,2,193
2353,74,1472,6,0.09,,0,15,1,194
2665,68,485,16,0.05,,0,11,2,195
323,45+3,2200,129,0.03,,0,22,1,196
897,26,1247,54,0.03,,0,28,1,197
1036,22,189,63,0.04,,0,15,1,198
768,73,2661,51,0.08,,0,12,2,199
1619,80,2663,53,0.1,,0,23,1,200
94,67,645,113,0.04,,0,16,0,201
680,46,82,81,0.05,0.49,1,22,1,202
180,22,227,118,0.03,0.02,0,26,0,203
2143,62,1033,18,0.09,,0,10,1,204
468,90,1889,85,0.2,,0,7,2,205
220,68,1127,117,0.08,0.05,0,11,1,206
637,45+2,1688,79,0.04,0.36,0,27,1,207
1155,43,804,91,0.03,,0,29,0,208
2686,85,261,12,0.06,,0,20,1,209
37,43,855,111,0.25,,0,9,2,210
1809,30,1997,3,0.14,0.15,1,14,0,211
1635,43,1410,2,0.05,,0,26,1,212
1234,87,1288,95,0.09,0.43,1,10,2,213
588,34,2610,81,0.03,0.05,1,32,0,214
2659,31,1817,15,0.03,,0,17,0,215
1189,11,81,99,0.03,,0,13,2,216
649,46,113,79,0.03,,0,31,0,217
405,31,1732,71,0.04,,0,8,2,218
1821,63,1844,11,0.04,,0,9,2,219
212,10,1660,117,0.49,0.95,1,4,1,220
1794,72,2084,6,0.07,,0,26,0,221
2194,30,1109,5,0.04,0.48,0,20,1,222
394,38,1892,73,0.16,,0,7,2,223
1497,28,1140,105,0.22,0.61,0,5,0,224
2425,87,2305,7,0.03,,0,28,1,225
397,7,40,72,0.07,0.21,0,21,1,226
452,6,575,80,0.18,0.26,0,17,1,227
725,32,1613,86,0.03,,0,24,1,228
744,15,1529,90,0.04,,0,16,1,229
2678,78,1397,12,0.09,0.03,0,14,1,230
307,33,151,124,0.06,,0,12,1,231
590,85,2720,87,0.01,,0,10,2,232
844,68,2247,64,0.09,,0,22,0,233
1540,3,1769,107,0.08,,0,11,2,234
73,50,1728,112,0.13,,0,7,2,235
2134,71,534,9,0.04,0.36,1,19,1,236
2212,55,456,5,0.05,,0,24,0,237
1292,79,30,95,0.05,,0,13,2,238
1196,90+1,653,92,0.04,,0,12,2,239
640,65,1086,88,0.08,,0,17,1,240
483,80,2599,77,0.14,,0,12,0,241
117,74,2198,122,0.11,,0,17,1,242
1295,9,1773,95,0.03,,0,22,1,243
